pso,ga3,hill,hybrid,fireworks,simulated,
40.2465,40.229,40.2435,40.1952,40.2445,40.2312,
40.2465,40.2319,40.2429,40.2447,40.2434,40.2393,
40.2465,40.2392,40.2456,40.2362,40.2457,40.1474,
40.2463,40.2239,40.2458,40.2384,40.2454,40.1429,
40.2465,40.2408,40.2452,40.2441,40.2452,40.231,
40.2465,40.1362,40.2419,40.2302,40.2448,40.242,
40.2465,40.2339,40.2411,40.1851,40.2461,40.2331,
40.2465,40.1413,40.2443,40.2356,40.2435,40.2319,
40.2447,40.2435,40.2409,40.238,40.245,40.1428,
40.2466,40.2182,40.2449,40.23,40.2376,40.2402,
40.2465,40.2389,40.2442,40.2428,40.2414,40.2327,
40.2465,40.2288,40.2408,40.2306,40.2447,40.2411,
40.2465,40.2342,40.2406,40.1972,40.2453,40.2399,
40.2465,40.2197,40.2411,40.1966,40.2454,40.2389,
40.2465,40.2286,40.2442,40.2292,40.2454,40.1401,
40.2463,40.2154,40.2447,40.2342,40.2434,40.1515,
40.2465,40.2346,40.2438,40.2389,40.2422,40.2417,
40.2463,40.2328,40.2421,40.2448,40.2445,40.2353,
40.2461,40.2353,40.2448,40.224,40.2457,40.2379,
40.2465,40.2397,40.2463,40.2369,40.2458,35.5932,
40.2462,40.2416,40.2437,40.2448,40.2421,40.1485,
40.2465,40.2368,40.2452,40.2352,40.2449,40.2346,
40.2465,40.2362,40.2433,40.1722,40.2449,40.2349,
40.2465,40.2077,40.244,40.2337,40.2446,40.2341,
40.2465,40.2131,40.2434,40.2349,40.2448,40.2395,
40.2465,40.1323,40.2399,40.195,40.2451,40.2307,
40.2465,40.2408,40.2441,40.1802,40.2462,40.1489,
40.2465,40.2353,40.2429,40.235,40.244,40.1534,
40.2465,40.2299,40.2433,40.2412,40.242,40.2253,
40.2463,40.132,40.2425,40.2357,40.2433,40.1412,